역이름,이미지 X좌표,이미지 Y좌표,ID(최대 4개),,,
신방화역,689.989,986.064,904,,,
마곡나루역,709.625,1070.358,905,,,
양천향교역,709.625,1129.521,906,,,
가양역,709.625,1188.686,907,,,
증미역,709.625,1247.85,908,,,
등촌역,709.625,1307.013,909,,,
염창역,709.625,1366.177,910,,,
신목동역,792.335,1424.623,911,,,
선유도역,876.145,1424.623,912,,,
국회의사당역,1125.287,1443.493,914,,,
샛강역,1320.309,1535.439,916,,,
노들역,1504.833,1713.642,918,,,
흑석역,1672.571,1795.176,919,,,
구반포역,2017.607,1794.875,921,,,
신반포역,2127.955,1794.873,922,,,
사평역,2349.807,1944.398,924,,,
신논현역,2416.759,1945.156,925,,,
암사역,3269.664,1505.69,810,,,
강동구청역,3106.468,1669.597,812,,,
몽촌토성역,3006.745,1769.318,813,,,
석촌역,2862.833,1959.313,815,,,
송파역,2900.922,2053.534,816,,,
문정역,2991.449,2144.044,818,,,
장지역,3026.104,2178.709,819,,,
산성역,3167.126,2210.039,821,,,
남한산성입구역,3282.126,2209.982,822,,,
단대오거리역,3397.016,2209.795,823,,,
신흥역,3472.918,2231.175,824,,,
수진역,3491.431,2292.984,825,,,
굴포천역,479.589,2574.521,758,,,
삼산체육관역,519.148,2534.962,757,,,
상동역,547.511,2448.017,756,,,
부천시청역,547.421,2367.011,755,,,
신중동역,547.332,2286.085,754,,,
춘의역,547.242,2205.161,753,,,
부천종합운동장역,547.152,2134.236,752,,,
까치울역,547.063,2054.679,751,,,
천왕역,629.79,2011.646,749,,,
광명사거리역,669.345,2051.2,748,,,
철산역,767.5,2077.979,747,,,
남구로역,948.444,1983.764,745,,,
신풍역,1145.515,1892.231,743,,,
보라매역,1249.667,1892.231,742,,,
신대방삼거리역,1377.076,1892.231,741,,,
장승배기역,1507.937,1892.231,740,,,
상도역,1612.449,1892.231,739,,,
숭실대입구역,1716.619,1892.231,738,,,
남성역,1840.13,1892.231,737,,,
내방역,2006.513,1892.231,735,,,
반포역,2381.327,1892.231,733,,,
논현역,2515.997,1835.547,732,,,
학동역,2584.997,1766.546,731,,,
청담역,2707.245,1644.3,729,,,
뚝섬유원지역,2794.663,1556.884,728,,,
어린이대공원역,2942.831,1408.712,726,,,
중곡역,3056.831,1294.712,724,,,
용마산역,3074.777,1220.046,723,,,
사가정역,3074.777,1141.046,722,,,
면목역,3074.777,1064.046,721,,,
중화역,3074.722,899.471,719,,,
먹골역,3074.722,837.983,718,,,
공릉역,3025.942,718.824,716,,,
중계역,2917.817,610.7,714,,,
하계역,2974.929,667.812,715,,,
마들역,2798.774,491.657,712,,,
수락산역,2740.097,432.978,711,,,
장암역,2501.683,344.056,709,,,
역촌역,1337.25,735.23,611,,,
봉화산(서울의료원)역,3297.479,775.197,647,,,
화랑대역,3174.809,775.197,646,,,
돌곶이역,2771.46,775.197,643,,,
상월곡역,2664.833,775.197,642,,,
월곡역,2557.626,775.197,641,,,
안암역,2432.803,860.929,639,,,
고려대역,2484.234,809.498,640,,,
보문역,2399.447,918.53,638,,,
창신역,2399.271,975.69,637,,,
버티고개역,2090.7,1516.502,632,,,
한강진역,1979.065,1516.502,631,,,
이태원역,1876.23,1516.502,630,,,
녹사평(용산구청)역,1749.575,1516.502,629,,,
대흥역,1311.187,1337.25,625,,,
효창공원앞역,1486.727,1383.554,627,,,
광흥창역,1199.667,1336.897,624,,,
상수역,1093,1337.064,623,,,
망원역,948,1117.955,621,,,
마포구청역,948,1037.34,620,,,
월드컵경기장역,976.753,945.478,619,,,
증산역,1115.371,806.898,617,,,
새절역,1166.083,756.314,616,,,
응암역,1225.333,697.73,610,,,
구산역,1277.667,644.397,615,,,
독바위역,1474.333,605.063,613,,,
마천역,3277.295,2065.699,575,,,
거여역,3277.295,2010.692,574,,,
개롱역,3277.295,1955.687,573,,,
방이역,3277.295,1835.063,571,,,
올림픽공원역,3277.295,1767.458,570,,,
둔촌동역,3277.295,1694.55,569,,,
상일동역,3385.134,1398.863,553,,,
고덕역,3385.134,1456.47,552,,,
명일역,3385.134,1516.687,551,,,
굽은다리역,3385.134,1573.449,550,,,
길동역,3329.11,1628.494,549,,,
광나루역,3095.501,1446.564,546,,,
아차산역,3047.626,1398.689,545,,,
장한평역,2954.415,1305.477,543,,,
답십리역,2909.665,1260.727,542,,,
마장역,2866.5,1217.564,541,,,
행당역,2526.166,1264.064,539,,,
신금호역,2444.75,1297.127,538,,,
광화문역,1618.66,924.365,533,,,
서대문역,1496.5,1031.054,532,,,
애오개역,1496.5,1225.552,530,,,
마포역,1354,1410.064,528,,,
여의나루역,1283.251,1481.24,527,,,
영등포시장역,1051,1595.647,524,,,
양평역,900.081,1595.908,522,,,
오목교역,830.637,1595.908,521,,,
목동역,762.192,1595.908,520,,,
신정역,693.748,1595.908,519,,,
우장산역,578,1402.211,516,,,
화곡역,578,1483.729,517,,,
발산역,578,1319.846,515,,,
마곡역,578,1237.197,514,,,
송정역,578,1155.778,513,,,
개화산역,437.42,1030.731,511,,,
방화역,354.215,1030.731,510,,,
정왕역,2343.407,2915.68,455,,,
신길온천역,2240.076,2915.68,454,,,
안산역,2136.508,2915.68,453,,,
초지역,2033.058,2915.68,452,,,
고잔역,1929.607,2915.68,451,,,
중앙역,1826.157,2915.68,450,,,
상록수역,1619.257,2915.68,448,,,
한대앞역,1718.965,2915.68,449,,,
반월역,1515.927,2915.68,447,,,
대야미역,1422.1,2915.68,446,,,
수리산역,1323.533,2865.144,445,,,
산본역,1261.25,2802.69,444,,,
범계역,1208.328,2589.246,442,,,
평촌역,1208.328,2492.643,441,,,
인덕원역,1291.919,2337.359,440,,,
정부과천청사역,1415.113,2264.064,439,,,
과천역,1518.292,2264.064,438,,,
대공원역,1621.472,2264.064,437,,,
경마공원역,1724.658,2264.064,436,,,
선바위역,1816.762,2217.479,435,,,
남태령역,1884.101,2150.141,434,,,
신용산역,1668.295,1602.989,429,,,
숙대입구역,1625.762,1439.612,427,,,
회현역,1772.151,1346.209,425,,,
명동역,1880.149,1346.209,424,,,
혜화역,2215.301,938.442,420,,,
한성대입구역,2215.301,848.415,419,,,
성신여대입구역,2215.012,744.667,418,,,
길음역,2256.325,647.13,417,,,
미아사거리역,2312.195,591.26,416,,,
미아역,2391.896,558.327,415,,,
수유(강북구청)역,2492.118,558.327,414,,,
쌍문역,2592.341,558.327,413,,,
상계역,2994.019,558.327,410,,,
당고개역,3113.09,558.327,409,,,
대화역,306.277,585.279,310,,,
주엽역,402.616,585.285,311,,,
정발산역,498.956,585.285,312,,,
마두역,595.295,585.285,313,,,
백석역,691.634,585.285,314,,,
화정역,871.467,585.285,316,,,
원당역,964.475,585.285,317,,,
삼송역,1057.481,585.285,318,,,
지축역,1150.559,585.285,319,,,
구파발역,1243.496,585.285,320,,,
녹번역,1564.61,735.564,323,,,
홍제역,1654.991,735.564,324,,,
무악재역,1745.371,735.564,325,,,
독립문역,1835.752,735.564,326,,,
경복궁역,1901.667,827.189,327,,,
안국역,1901.667,919.05,328,,,
동대입구역,2113.667,1399.426,332,,,
금호역,2240.556,1522.814,334,,,
압구정역,2283.875,1684.533,336,,,
신사역,2284,1753.012,337,,,
잠원역,2283.998,1822.8,338,,,
남부터미널역,2300.563,2119.407,341,,,
매봉역,2439.426,2143.398,343,,,
대치역,2641.905,2143.398,345,,,
학여울역,2730.506,2143.398,346,,,
대청역,2837.038,2191.484,347,,,
일원역,2890.852,2245.094,348,,,
경찰병원역,3121.98,1905.731,351,,,
신대방역,1247.5,2057.564,231,,,
신림역,1387.076,2057.564,230,,,
구로디지털단지역,1126.131,1983.695,232,,,
문래역,947.75,1698.056,235,,,
신촌역,1236.75,1144.814,240,,,
이대역,1325.875,1144.814,241,,,
아현역,1415,1144.814,242,,,
을지로입구역,1732.281,1144.814,202,,,
상왕십리역,2492.212,1144.814,207,,,
한양대역,2670.459,1259.605,209,,,
뚝섬역,2739.709,1328.961,210,,,
용답역,2816.334,1338.961,251,,,
신답역,2816.334,1283.799,252,,,
용두역,2778.334,1129.396,254,,,
봉천역,1530.377,2057.564,229,,,
서울대입구역,1676.28,2057.564,228,,,
낙성대역,1813.184,2057.564,227,,,
방배역,2016.063,2057.564,225,,,
서초역,2104.208,2057.564,224,,,
역삼역,2459.367,2057.564,221,,,
삼성역,2616.412,2057.521,219,,,
신천역,2768.881,1978.384,217,,,
종합운동장역,2681.866,2057.521,218,,,
잠실나루역,2878.999,1691.32,215,,,
강변역,2878.999,1575.25,214,,,
구의역,2878.999,1527.626,213,,,
도림천역,824.243,1777.071,261,,,
양천구청역,765.368,1718.071,262,,,
신정네거리역,706.493,1659.321,263,,,
종로5가역,2085.666,1031.481,129,,,
종각역,1765.212,1031.481,131,,,
남영역,1575.845,1389.083,134,,,
영등포역,1049.239,1704.539,139,,,
대방역,1266.438,1609.71,137,,,
구일역,770.776,1899.816,142,,,
개봉역,679.989,1899.816,143,,,
오류동역,610.979,1920.612,144,,,
역곡역,589.735,2116.087,146,,,
소사역,589.735,2226.065,147,,,
부천역,589.735,2337.679,148,,,
독산역,854.013,2323.427,173,,,
석수역,901.928,2577.409,175,,,
광명역,802.597,2633.536,1175,,,
관악역,957.309,2633.536,176,,,
안양역,1049.196,2682.14,177,,,
명학역,1133.574,2682.14,178,,,
군포역,1282.88,2682.14,180,,,
당정역,1370.415,2682.14,1181,,,
의왕역,1448.803,2682.14,181,,,
성균관대역,1541.804,2682.14,182,,,
화서역,1634.729,2682.14,183,,,
세류역,1790.626,2682.14,185,,,
세마역,1952.185,2682.14,187,,,
서동탄역,1930.607,2625.215,1187,,,
오산대역,2047.165,2682.14,188,,,
오산역,2142.146,2682.14,189,,,
진위역,2237.127,2682.14,190,,,
송탄역,2332.107,2682.14,1401,,,
서정리역,2427.088,2682.14,1402,,,
지제역,2522.07,2682.14,1403,,,
평택역,2580.903,2700.971,1404,,,
성환역,2637.832,2757.9,1405,,,
직산역,2691.57,2811.491,1406,,,
중동역,589.735,2445.081,149,,,
송내역,589.735,2554.549,150,,,
부개역,589.735,2660.884,151,,,
백운역,589.735,2829.085,153,,,
동암역,589.735,2888.687,154,,,
간석역,609.795,2947.302,155,,,
주안역,653.695,2990.202,156,,,
도화역,700.743,3037.321,157,,,
제물포역,743.643,3079.945,158,,,
도원역,783.295,3119.731,159,,,
동인천역,827.305,3163.776,160,,,
인천역,897.285,3189.478,161,,,
두정역,2717.791,2873.563,1407,,,
천안역,2717.791,2973.967,1408,,,
봉명역,2717.791,3075.031,1409,,,
쌍용(나사렛대)역,2717.791,3174.385,1410,,,
아산역,2717.791,3276,1411,,,
배방역,2700.194,3472.313,1413,,,
온양온천역,2553,3494.62,1415,,,
신창(순천향대)역,2383,3494.62,1416,,,
외대앞역,2869.253,899.471,123,,,
제기동역,2738.542,1013.98,126,,,
신이문역,2869.239,837.983,122,,,
녹천역,2730.864,616.438,118,,,
광운대역,2828.576,714.132,120,1809,,
월계역,2782.559,667.877,119,,,
방학역,2673.042,495.209,116,,,
도봉역,2672.938,442.083,115,,,
망월사역,2806.865,344.101,113,,,
의정부역,3056.604,394.409,111,,,
가능역,3182.626,344.056,110,,,
녹양역,3284.374,344.053,108,,,
양주역,3386.123,344.056,107,,,
덕계역,3487.871,344.056,106,,,
덕정역,3589.619,344.056,105,,,
지행역,3672.795,417.906,104,,,
동두천중앙역,3672.795,482.863,103,,,
보산역,3672.795,547.82,102,,,
동두천역,3672.795,612.776,101,,,
소요산역,3672.795,677.733,100,,,
신길역,1156,1603,138,525,,
회기역,2869,971,124,1317,,
청량리역,2777,971,125,191,,
을지로4가역,2072,1136,204,535,,
망우역,3185,948,1315,1811,,
상봉역,3074.777,959.897,720,1390,1810,
서울역,1626,1347,133,426,4001,1610
공덕역,1426,1336,529,626,4002,1607
잠실역,2867,1895,216,814,,
홍대입구역,1146,1144,239,4003,1609,
회룡역,2965.75,390.774,112,11002,,
도봉산역,2682.464,375.519,114,710,,
창동역,2672.938,558.532,117,412,,
석계역,2869.239,774.974,121,644,,
신설동역,2700.68,1051.712,127,253,,
성수역,2816.227,1405.525,211,,,
건대입구역,2878.807,1470.89,212,727,,
선릉역,2556.333,2057.397,220,1515,,
강남역,2376.926,2057.397,222,1910,,
교대역,2283.834,2057.397,223,340,,
사당역,1935.391,2057.567,226,433,,
대림역,1038.309,1896.156,233,744,,
까치산역,642.946,1595.665,264,518,,
영등포구청역,947.461,1595.665,236,523,,
당산역,947.461,1424.622,237,913,,
합정역,947.55,1275.282,238,622,,
충정로역,1496.5,1144.813,243,531,,
시청역,1630.241,1144.813,132,201,,
을지로3가역,1901.464,1144.813,203,330,,
동대문역사문화공원역,2215.301,1144.813,205,422,536,
신당역,2399.34,1144.813,206,635,,
왕십리역,2600.398,1192.685,208,540,1510,192
동묘앞역,2399.328,1031.413,199,636,,
동대문역,2215.01,1031.413,128,421,,
종로3가역,1901.464,1031.413,130,329,534,
용산역,1447.083,1517.813,135,1318,,
노량진역,1378.188,1586.751,136,917,,
신도림역,948.29,1805.729,140,234,,
구로역,854.012,1899.648,141,,,
온수역,589.734,1973.168,145,750,,
부평역,589.734,2766.373,152,20120,,
가산디지털단지역,854.012,2075.444,172,746,,
금천구청역,854.012,2528.491,174,,,
금정역,1208.367,2682.734,179,443,,
병점역,1874.222,2682.14,186,,,
수원역,1711.222,2682.14,184,1545,,
고속터미널역,2283.834,1891.846,339,734,923,
옥수역,2283.251,1572.199,335,195,,
약수역,2192.085,1475.167,333,633,,
충무로역,2057.666,1344.729,331,423,,
불광역,1493.241,735.888,322,612,,
연신내역,1339.949,585.453,321,614,,
대곡역,776.695,585.453,315,1618,,
노원역,2865.418,558.595,411,713,,
이촌역,1723.75,1657.938,430,198,,
동작역,1860.124,1794.72,431,920,,
총신대입구역(이수역),1935.392,1892.188,432,736,,
오이도역,2441.811,2915.68,456,11121,,
강동역,3277.296,1628.495,548,,,
천호역,3212.562,1563.76,547,811,,
군자역,3000.032,1351.28,544,725,,
청구역,2371.794,1294.676,537,634,,
여의도역,1230,1533.807,526,915,,
김포공항역,537.492,1030.086,512,902,4005,
태릉입구역,3074.25,775.126,645,717,,
삼각지역,1625.762,1513.415,428,628,,
강남구청역,2671.932,1679.398,730,1513,,
부평구청역,437.11,2616.515,759,20118,,
가락시장역,2955.205,2107.867,350,817,,
복정역,3063.445,2208.274,820,1522,,
모란역,3491.431,2352.231,826,1525,,
정자역,3209.446,2542.726,1530,1915,,
원인재역,1918.492,3190.177,20130,11127,,
계양역,449.609,1637.077,20110,4006,,
가좌역,1159.546,947.694,1612,,,
디지털미디어시티역,1053.125,869.459,618,4004,1613,
양재역,2376.926,2143.438,342,1911,,
도곡역,2556.333,2143.397,344,1517,,
수서역,2955.205,2294.327,349,1521,,
오금역,3277.296,1905.532,352,572,,
기흥역,2592.189,2542.726,1537,1701,,
